M,l
1.2257668711656442, 3.7058823529411775
1.2206134969325153, 4.732620320855615
1.4069938650306748, 3.5347593582887704
1.4284662576687117, 3.620320855614972
1.4293251533742333, 3.2780748663101615
1.740245398773006, 2.2941176470588243
